id,week,checkout_price,base_price,num_orders,center_type,op_area,category,cuisine
1000000,3,233.83,231.83,149,TYPE_A,4.1,Other Snacks,Thai
1001086,144,184.36,261.93,96,TYPE_A,4.1,Other Snacks,Thai
1001863,120,219.28,241.53,27,TYPE_A,4.1,Other Snacks,Thai
1000867,38,242.53,242.53,204,TYPE_B,3.6,Other Snacks,Thai
1001080,131,260.93,260.93,107,TYPE_A,5.3,Other Snacks,Thai
1000010,10,243.53,241.53,108,TYPE_A,3,Other Snacks,Thai
1001198,22,232.83,233.83,94,TYPE_A,3.8,Other Snacks,Thai
1001831,83,241.53,241.53,27,TYPE_A,3.8,Other Snacks,Thai
1000295,69,241.53,242.53,28,TYPE_C,5.1,Other Snacks,Thai
1000022,49,242.53,242.53,134,TYPE_A,4.8,Other Snacks,Thai
1001611,143,242.53,241.53,149,TYPE_A,4.8,Other Snacks,Thai
1001681,61,213.43,241.53,176,TYPE_A,4.8,Other Snacks,Thai
1001079,36,243.53,243.53,15,TYPE_C,2,Other Snacks,Thai
1000132,75,243.53,243.53,94,TYPE_C,2.7,Other Snacks,Thai
1001299,25,175.63,222.13,68,TYPE_A,3.9,Other Snacks,Thai
1002036,117,241.53,242.53,55,TYPE_A,3.4,Other Snacks,Thai
1001151,139,261.93,261.93,40,TYPE_C,3.8,Other Snacks,Thai
1000289,101,222.13,224.13,366,TYPE_A,4.4,Other Snacks,Thai
1000554,27,173.63,243.53,177,TYPE_C,2.8,Other Snacks,Thai
1000690,133,242.53,242.53,27,TYPE_C,2.8,Other Snacks,Thai
1001319,114,243.53,243.53,27,TYPE_C,2.8,Other Snacks,Thai
1001339,110,241.53,242.53,107,TYPE_A,3.7,Other Snacks,Thai
1001703,22,243.53,241.53,81,TYPE_A,3.7,Other Snacks,Thai
1002070,10,242.53,243.53,189,TYPE_A,3.7,Other Snacks,Thai
1001019,145,184.36,262.93,15,TYPE_B,3.8,Other Snacks,Thai
1000771,14,198.88,232.83,135,TYPE_A,3.9,Other Snacks,Thai
1002003,72,242.53,242.53,527,TYPE_B,6.7,Other Snacks,Thai
1000168,14,190.18,233.83,82,TYPE_C,3.8,Other Snacks,Thai
1000092,110,241.53,243.53,107,TYPE_A,3.2,Other Snacks,Thai
1001539,51,243.53,242.53,122,TYPE_A,3.2,Other Snacks,Thai
1000919,144,184.36,262.93,28,TYPE_A,3.8,Other Snacks,Thai
1001575,109,243.53,243.53,41,TYPE_A,4.4,Other Snacks,Thai
1001635,98,242.53,242.53,13,TYPE_A,2.8,Other Snacks,Thai
1001084,94,243.53,242.53,55,TYPE_A,2.4,Other Snacks,Thai
1001003,83,242.53,241.53,150,TYPE_B,3.9,Other Snacks,Thai
1001011,93,241.53,242.53,27,TYPE_C,2,Other Snacks,Thai
1001868,58,242.53,242.53,15,TYPE_C,2,Other Snacks,Thai
1001344,78,196,195,54,TYPE_A,3.4,Other Snacks,Thai
1000943,135,262.93,260.93,82,TYPE_B,3.9,Other Snacks,Thai
1002074,54,196,196,15,TYPE_C,4,Other Snacks,Thai
1001102,59,214.43,242.53,258,TYPE_A,4.5,Other Snacks,Thai
1000935,7,231.83,233.83,135,TYPE_B,4,Other Snacks,Thai
1000251,126,338.53,340.53,15,TYPE_A,4.1,Pasta,Italian
1000183,87,243.5,348.26,161,TYPE_A,4.5,Pasta,Italian
1000107,19,220.25,340.53,217,TYPE_B,4.7,Pasta,Italian
1000604,119,335.62,336.62,40,TYPE_B,3.6,Pasta,Italian
1000522,17,340.53,338.53,14,TYPE_A,5.3,Pasta,Italian
1001283,8,242.5,339.53,81,TYPE_A,4.8,Pasta,Italian
